DEFECT,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC
yes,5,2,0,1,6,10,1,0,3,1.25,59,0.0345,28,0.8125,0.6,0,0,5
yes,135,1,1,12,136,9045,9,8,105,1.0075,855,0.6444,6,0,0.0885,0,0,5
yes,11,1,0,2,12,55,2,0,10,1.1,111,0.1333,0,0,0.4545,0,0,5
yes,41,1,0,4,42,820,1,4,39,1.025,280,0.1176,1,0,0.1734,0,0,5
yes,40,1,0,9,41,780,7,5,24,1.0256,269,1,4,0,0.1643,0,0,5
yes,2,1,0,0,3,1,0,0,2,2,37,0,0,0,1,0,0,5
yes,4,1,0,3,5,6,1,2,3,1.3333,27,0,2,0,0.4167,0,0,5
yes,6,1,0,3,7,15,0,3,5,1.2,50,0,1,0,0.2917,0,0,5
yes,86,1,0,3,87,3655,0,3,14,1.0118,529,0.8462,0,0,0.0913,0,0,5
yes,114,1,0,6,115,6441,5,6,80,1.0088,703,0.2632,4,0,0.0744,0,0,5
yes,97,1,0,6,98,4656,0,6,87,1.0104,635,1,2,0,0.1532,0,0,5
yes,4,1,0,0,5,6,0,0,1,1.3333,25,0,0,0,0.5,0,0,5
yes,11,1,0,11,12,55,2,9,10,1.1,73,0.8571,5,0,0.3409,0,0,5
yes,4,1,0,1,5,6,1,0,3,1.3333,30,0.3333,0,0,0.375,0,0,5
yes,8,0,0,1,9,28,0,1,8,2,48,0,0,0,1,0,0,0
yes,18,1,0,6,19,153,4,4,18,1.0588,91,0.6667,0,0,0.3704,0,0,3.8889
yes,16,1,0,0,17,120,0,0,16,1.0667,112,0.875,0,0,0.3125,0,0,5
no,11,1,0,0,12,55,0,0,9,1.1,69,1,0,0,0.2727,0,0,5
no,18,1,0,4,19,153,1,3,18,1.0588,129,0.5238,3,0,0.2063,0,0,5
no,9,1,0,0,10,36,0,0,8,1.125,64,0.1,1,0,0.3492,0,0,5
no,20,1,0,3,21,190,3,0,18,1.0526,139,0,0,0,0.2714,0,0,5
no,12,1,0,5,13,66,2,3,7,1.0909,79,0.2857,1,0,0.3125,0,0,5
no,5,1,0,2,6,10,0,2,5,1.25,45,0.0667,1,0,0.5,0,0,5
no,27,1,0,3,28,351,1,3,26,1.0385,174,0.4167,3,0,0.138,0,0,5
no,5,1,0,4,6,10,4,0,5,1.25,48,0,0,0,0.3667,0,0,5
no,2,4,0,1,3,1,1,0,2,2,12,0,0,1,0.75,0,0,5
no,8,1,0,0,9,28,0,0,5,1.1429,52,1,0,0,0.4167,0,0,5
no,2,3,0,5,3,1,5,0,2,2,12,0,0,1,0.75,0,0,5
no,2,1,0,2,3,1,1,1,1,2,9,0,0,0,1,0,0,2.5
no,1,1,1,1,2,0,1,0,1,2,6,0,0,0,1,0,0,5
no,3,1,0,0,4,3,0,0,3,1.5,19,0,0,0,0.4444,0,0,5
no,7,1,0,5,8,21,2,3,6,1.1667,48,0,2,0,0.3095,0,0,5
no,8,1,0,2,9,28,2,0,7,1.1429,54,1,0,0,0.4063,0,0,5
no,3,2,0,2,4,3,2,0,2,1.5,43,0.04,24,0.8667,0.5556,0,0,5
no,2,2,0,1,3,1,1,0,1,2,16,0.25,3,0.9286,0.6667,0,0,5
no,2,1,0,1,3,1,1,0,0,2,21,0,0,0,0.5,0,0,5
no,1,2,0,0,2,0,0,0,0,2,9,0,3,1,1,0,0,5
no,1,2,0,1,2,0,1,0,0,2,9,0,3,1,1,0,0,5
no,3,1,0,1,4,3,1,0,2,2,13,0,0,0,0.5556,0,0,3.3333
no,6,1,0,7,7,15,2,6,3,1.2,44,1,2,0,0.3889,0,0,5
no,2,2,0,1,3,1,1,0,1,2,17,0.2,4,0.9286,0.6667,0,0,5
no,1,1,0,3,2,0,0,3,1,2,15,0,3,0,1,0,0,5
no,2,2,0,1,3,1,1,0,1,2,29,0.0588,16,0.9286,0.6667,0,0,5
no,1,1,0,0,2,0,0,0,0,2,24,0,0,0,0,0,0,5
no,7,1,0,2,8,21,1,1,2,1.1667,43,1,0,0,0.3,0,0,5
no,50,1,0,3,51,1225,0,3,4,1.0204,313,1,3,0,0.1564,0,0,5
no,1,1,0,1,2,0,1,0,1,2,17,0,0,0,1,0,0,5
no,5,1,0,0,6,10,0,0,2,1.25,31,0,0,0,0.4333,0,0,5
no,31,1,0,0,32,465,0,0,19,1.0333,211,0.92,0,0,0.1263,0,0,5
no,6,1,0,2,7,15,2,0,3,1.2,59,0.1304,0,0,0.5,0,0,5
no,1,1,0,1,2,0,1,0,1,2,9,0,0,0,1,0,0,5
no,1,1,0,2,2,0,0,2,1,2,33,0,3,0,1,0,0,5
no,3,1,0,1,4,3,1,0,3,1.5,49,0,0,0,0.5,0,0,5
